employee_id,tasks_completed,avg_task_duration,late_tasks,avg_work_hours,performance_score,late_ratio,productivity_score,department,skill_level,recommended_training
1001,26,5.615384615384615,13,7.461538461538462,79.8076923076923,0.5,49.342307692307685,IT,Mid,Time Management
1002,24,5.083333333333333,8,7.166666666666667,80.79166666666667,0.3333333333333333,53.837500000000006,IT,Mid,Communication Skills
1003,38,4.473684210526316,20,7.368421052631579,80.47368421052632,0.5263157894736842,53.55263157894737,Finance,Mid,Time Management
1004,32,4.15625,11,7.6875,81.3125,0.34375,56.881249999999994,IT,Mid,Communication Skills
1005,38,4.605263157894737,16,7.315789473684211,76.28947368421052,0.42105263157894735,55.455263157894734,Marketing,Mid,Time Management
1006,32,5.34375,17,7.53125,78.5,0.53125,50.4125,HR,Mid,Time Management
1007,50,4.82,22,7.32,81.04,0.44,61.111999999999995,Marketing,Mid,Time Management
1008,49,5.020408163265306,24,7.510204081632653,81.61224489795919,0.4897959183673469,59.389795918367355,Finance,Mid,Time Management
1009,43,4.906976744186046,18,7.511627906976744,77.67441860465117,0.4186046511627907,57.94418604651163,IT,Mid,Time Management
1010,28,5.285714285714286,14,7.75,83.89285714285714,0.5,51.36785714285715,IT,Mid,Time Management
1011,21,5.238095238095238,13,7.571428571428571,79.28571428571429,0.6190476190476191,43.614285714285714,HR,Mid,Time Management
1012,45,5.266666666666667,21,7.2444444444444445,77.71111111111111,0.4666666666666667,57.31333333333333,IT,Mid,Time Management
1013,41,4.560975609756097,15,7.365853658536586,80.82926829268293,0.36585365853658536,59.673170731707316,HR,Mid,Communication Skills
1014,32,5.1875,11,7.625,81.4375,0.34375,56.918749999999996,Finance,Mid,Communication Skills
1015,40,4.8,14,7.4,79.725,0.35,59.4175,HR,Mid,Communication Skills
1016,31,5.032258064516129,15,7.258064516129032,80.03225806451613,0.4838709677419355,51.89354838709677,Operations,Mid,Time Management
1017,44,4.9772727272727275,16,7.659090909090909,80.25,0.36363636363636365,60.76590909090909,HR,Mid,Communication Skills
1018,32,4.625,17,7.5625,77.3125,0.53125,50.05625,Operations,Mid,Time Management
1019,27,4.074074074074074,11,7.333333333333333,78.96296296296296,0.4074074074074074,52.266666666666666,IT,Mid,Time Management
1020,41,5.073170731707317,14,7.414634146341464,79.90243902439025,0.34146341463414637,60.12682926829268,HR,Mid,Communication Skills
1021,30,5.133333333333334,11,7.733333333333333,80.3,0.36666666666666664,55.09,HR,Mid,Communication Skills
1022,39,5.205128205128205,16,7.615384615384615,81.05128205128206,0.41025641025641024,57.60769230769231,IT,Mid,Time Management
1023,24,5.0,11,7.666666666666667,79.41666666666667,0.4583333333333333,49.675000000000004,Finance,Mid,Time Management
1024,35,5.228571428571429,18,7.742857142857143,79.08571428571429,0.5142857142857142,52.29714285714286,Operations,Mid,Time Management
1025,38,5.157894736842105,16,7.605263157894737,81.71052631578948,0.42105263157894735,57.08157894736842,Finance,Mid,Time Management
1026,49,5.122448979591836,21,7.244897959183674,80.26530612244898,0.42857142857142855,60.82244897959184,Finance,Mid,Time Management
1027,27,6.111111111111111,16,7.444444444444445,79.37037037037037,0.5925925925925926,46.833333333333336,Operations,Mid,Time Management
1028,31,4.645161290322581,10,7.451612903225806,81.19354838709677,0.3225806451612903,57.08064516129032,Finance,Mid,Communication Skills
