employee_id,tasks_completed,avg_task_duration,late_ratio,avg_work_hours,performance_score,productivity_score,department,skill_level
1001,43,5.406363907586328,0.06976744186046512,6.753715568044722,64.06860134414782,25.707969197842957,Finance,Junior
1002,33,5.475886799971628,0.36363636363636365,7.2088602722185176,89.34396809703422,15.80792911037268,HR,Junior
1003,19,4.937746772301469,0.631578947368421,7.230644990489665,87.18094687688408,0.01332740972124924,HR,Junior
1004,47,5.8684714914609115,0.2127659574468085,6.109503253333205,71.45400807948825,24.37087990957157,HR,Junior
1005,12,3.3789603547857103,0.3333333333333333,6.903570043317963,83.03690928746784,7.0494611479221465,Operations,Junior
1006,25,5.3159736066604895,0.0,6.883040886670809,64.34560652917338,17.237174092513698,Marketing,Junior
1007,43,4.233039531481383,0.18604651162790697,6.553708884911428,77.74666806666873,27.301859201533773,HR,Junior
1008,23,5.970003557775135,0.6956521739130435,8.282701533604282,60.655560222114694,-6.8784602885186334,Operations,Junior
1009,27,2.8473412602388968,0.0,6.804656014750384,73.70606583225444,25.246530645973095,IT,Junior
1010,15,5.425264501036858,0.13333333333333333,7.414578098023951,62.61949875149918,6.673370748226121,Marketing,Junior
1011,15,3.1116221322999422,0.9333333333333333,8.582080481523304,76.63015130549088,-9.897214003501707,Operations,Junior
1012,28,3.671858378690218,0.32142857142857145,8.46493449143569,74.7588576398513,14.76519762773268,IT,Junior
1013,40,3.3122588019414994,0.175,8.56168881511666,75.55347593233196,27.236177582583394,Marketing,Junior
1014,44,3.0970266792129024,0.25,6.080019985860056,61.586595571679794,25.023265755910153,Operations,Junior
1015,28,6.954265709364002,0.5,5.139929953232251,72.65657194486414,2.4227829702448265,IT,Junior
1016,7,3.7142454059653423,1.1428571428571428,6.044267199581316,86.47693471849708,-20.218818153945552,Operations,Junior
1017,26,7.5627426911866955,0.34615384615384615,6.114829382482835,72.9120030673767,4.672299846486565,IT,Junior
